"Table with row headers in column A and column headers in rows 8 through 10, 92 through 94, 149 through 151, 233 through 235, 317 through 319, 401 through 403, 485 through 487, 569 through 571, and 613 through 615",,,,,,
"Table P-8. Age--All People, by Median Income and Sex: 1947 to 2024",,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar25.pdf>.",,,,,,
Footnotes are available at <www.census.gov/topics/income-poverty/income/guidance/cps-historic-footnotes.html>.,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 1948 to 2025 Annual Social and Economic Supplements (CPS ASEC).",,,,,,
"(People 15 years old and over beginning with March 1980, and people 14 years old and over as of March of the following year for previous years. Income in current and 2024 C-CPI-U (2000-2024) and R-CPI-U-RS (pre-2000) adjusted dollars (28))",,,,,,
15 Years and Over,,,,,,
Age and year,Male,,,Female,,
,Number with income (thousands),Median income,,Number with income (thousands),Median income,
,,"Current
dollars","2024
dollars",,"Current
dollars","2024
dollars"
2017 (40),19430,52930,66400,19100,35920,45070
2017,19390,53990,67730,19170,35440,44470
2016,19520,51480,65720,19170,32420,41400
2015,19790,51070,65780,19480,31850,41020
2014,19880,50320,64760,19500,30680,39480
2013 (39),19980,48580,63410,19820,30240,39480
2013 (38),19840,48300,63050,19540,30960,40410
2012,20180,46470,61390,19760,29780,39350
2011,20320,45950,61880,19950,28460,38330
2010 (37),20430,45450,63110,20290,27670,38420
2009 (36),20720,44730,62960,20420,28620,40280
2008,20800,45540,63840,20490,28240,39580
2007,20680,45850,66630,20240,29450,42810
2006,20430,45690,68110,20140,27840,41500
2005,20150,43630,66920,19920,26480,40610
2004 (35),19800,41870,66070,19590,26230,41400
2003,19420,42080,68080,19300,25870,41850
2002,18970,40970,67660,19090,25170,41560
2001,18770,41100,68730,18710,24140,40360
2000 (30),18490,41040,70170,18390,23730,40580
1999 (29),17790,40800,72170,17920,22570,39920
1998,16820,38920,70270,16920,21590,38970
1997,16200,37620,68850,16230,20530,37580
1996,15750,36230,67730,15690,19050,35600
1995 (25),14920,35590,68280,15140,17720,34000
1994 (24),14710,34930,68610,14670,17050,33490
1993 (23),14090,33150,66540,14000,16320,32760
1992 (22),13610,32180,66180,13330,15850,32600
1991,12890,31780,67020,12950,14720,31050
1990,12210,31010,67760,12280,14230,31100
1989,12090,30960,70960,12010,13140,30120
1988,11700,29580,70760,11690,12020,28760
1987 (21),11400,28490,70670,11180,11260,27940
1986,10970,27760,71190,10790,10380,26620
1985 (20),10770,25850,67370,10610,9619,25080
1984 (19),10630,24590,66280,10410,8903,24000
1983,10530,23120,64920,10330,8205,23040
1982,10500,21540,63040,10170,7502,21950
1981,10600,21020,65240,10290,7030,21820
1980,10700,19970,67900,10380,6403,21770
1979 (18),10810,18220,68760,10430,5596,21120
1978,10930,16570,68500,9306,5672,23440
1977,11030,15330,67690,8384,5670,25030
1976 (17),11150,14090,66250,8388,5331,25060
1975 (16),11190,13210,65620,8191,5066,25170
1974 (16)(15),11290,12280,66120,8334,4719,25400
1973,11270,11670,69000,8076,4303,25440
1972 (14),11160,10770,67570,7869,4067,25510
1971 (13),11120,9653,62580,7903,3919,25410
1970,11080,9173,62010,7884,3697,24990
1969,10990,8619,61100,7764,3558,25220
1968,10860,7803,57660,7580,3263,24110
1967 (12),10750,7378,56680,7247,3081,23670
1966 (11),10620,6918,54840,6798,2758,21860
1965 (10),10520,6363,51860,6760,2560,20860
1964,10440,6075,50450,6706,2410,20010
1963,10340,5828,48870,6692,2311,19380
1962 (9),10160,5622,47830,6466,2261,19240
1961 (8),10060,5321,45710,6250,2094,17990
1960,10020,5180,44940,6205,2102,18240
1959,9850,4852,42740,5840,2033,17910
1958,9643,4501,40050,5606,1884,16760
1957,9499,4494,41030,5338,1818,16600
1956,9313,4311,40640,5145,1750,16500
1955,9151,4138,39650,4864,1725,16530
1954,8985,3811,36320,4465,1632,15550
1953,8866,3816,36770,4146,1696,16340
1952 (7),8689,3486,33780,4147,1576,15270
1951,8502,3280,32320,4008,1327,13080
1950,8410,3091,32870,3841,1242,13210
1949 (6),8342,2751,29620,3624,1165,12540
1948,8185,2828,30070,3376,1310,13930
1947 (5),8130,2681,30960,3268,1293,14930
55 to 64 Years,,,,,,
Age and year,Male,,,Female,,
,Number with income (thousands),Median income,,Number with income (thousands),Median income,
,,"Current
dollars","2024
dollars",,"Current
dollars","2024
dollars"
2024,18810,64770,64770,19210,41530,41530
2023,19060,61270,62860,18990,40700,41750
2022,19130,56740,60490,18970,36140,38530
2021,19420,52490,60270,19720,35030,40220
2020 (41),19750,51520,61790,19810,33310,39950
2019,19510,53100,64360,19900,32470,39350
2018,18940,50960,62680,19800,30620,37650
2017 (40),18980,49790,62470,19750,29470,36980
2017,19010,48860,61310,19750,29530,37050
2016,18740,47000,60010,19710,29850,38110
2015,18860,46700,60150,19480,27880,35910
2014,18510,43280,55710,19000,26850,34560
2013 (39),17660,46160,60250,18840,26330,34370
2013 (38),18120,41920,54720,18360,26890,35100
2012,17520,42180,55720,18100,26680,35260
2011,17410,41550,55960,17870,25920,34910
2010 (37),17320,41240,57270,17630,25470,35360
2009 (36),16250,41300,58130,16690,25110,35350
2008,15900,41760,58540,16140,25520,35770
2007,15520,42130,61230,15600,25260,36710
2006,14910,41480,61830,15070,24190,36050
2005,14370,40650,62360,14640,22120,33930
2004 (35),13600,39290,62010,14080,20800,32830
2003,13100,38920,62960,13420,20370,32950
2002,12750,36280,59910,12930,19170,31650
2001,11980,35640,59590,12380,17820,29800
2000 (30),11390,34190,58460,11750,16920,28930
1999 (29),11110,33490,59230,11540,15940,28200
1998,10680,32780,59170,10970,14680,26490
1997,10360,31160,57020,10610,14380,26310
1996,9966,29530,55190,10220,13320,24890
1995 (25),9863,28980,55600,10010,12380,23750
1994 (24),9641,27080,53170,10010,10870,21340
1993 (23),9635,25140,50450,10010,10830,21730
1992 (22),9561,25620,52680,9925,10130,20840
1991,9845,25460,53690,10210,9902,20880
1990,9974,24800,54210,10350,9400,20540
1989,9818,24430,55980,10320,9163,21000
1988,9955,22650,54180,10400,8377,20040
1987 (21),10020,21880,54290,10500,7541,18710
1986,10130,21030,53950,10450,7377,18920
1985 (20),10130,20260,52810,10600,7173,18700
1984 (19),10200,19530,52640,10700,6837,18430
1983,10080,18690,52500,10650,6129,17210
1982,10100,17830,52170,10540,5907,17280
1981,10100,17370,53890,10560,5375,16680
1980,10010,15910,54100,10410,4926,16750
1979 (18),9910,15030,56730,10240,4386,16560
1978,9658,13620,56300,8758,4473,18490
1977,9689,12240,54060,7875,4533,20010
1976 (17),9369,11520,54170,7659,4054,19060
1975 (16),9219,10640,52870,7508,3900,19380
1974 (16)(15),9091,9973,53680,7328,3623,19500
1973,8960,9552,56470,7119,3431,20280
1972 (14),8836,8902,55850,7014,3209,20130
1971 (13),8732,7934,51440,6811,3081,19970
1970,8572,7678,51900,6715,2946,19910
1969,8452,7279,51600,6501,2791,19790
1968,8341,6717,49640,6225,2576,19040
1967 (12),8197,6122,47030,6046,2352,18070
1966 (11),8066,5750,45580,5771,2214,17550
1965 (10),7914,5250,42790,5521,2019,16450
1964,7870,4941,41030,5464,1910,15860
1963,7699,4901,41090,5291,1774,14870
1962 (9),7594,4800,40840,5027,1669,14200
1961 (8),7418,4597,39490,4921,1480,12710
1960,7299,4289,37210,4599,1415,12280
1959,7132,4190,36910,4241,1431,12600
1958,7006,3968,35310,4101,1326,11800
1957,6968,3681,33610,3954,1342,12250
1956,6907,3567,33630,3732,1364,12860
1955,6749,3440,32960,3537,1257,12050
1954,6664,3195,30450,3143,1195,11390
1953,6621,3271,31520,3036,1170,11270
1952 (7),6540,3009,29150,3001,1175,11380
1951,6473,2840,27980,2686,968,9538
1950,6482,2494,26520,2765,918,9762
1949 (6),6307,2366,25470,2583,1000,10770
1948,6259,2412,25650,2452,857,9113
1947 (5),6147,2344,27070,2180,962,11110
